,form,file,text,Number of Words,clean_text
39,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseOriginOfLovePoembyMuzahidulReza,"The being's brain is just blooming flower
Full of petals, smell and nectar,
Where with these beauty and purity
A blow is made heavenly,
Then it blows to the heart
Heart spreads it with blood.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │ 13 February, 2018",178,"The being's brain is just blooming flower Full of petals, smell and nectar, Where with these beauty and purity A blow is made heavenly, Then it blows to the heart Heart spreads it with blood. About: Reza Syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │ 13 February, 2018"
40,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseWintryVaguePoembyMuzahidulReza,"""Date juice, palm juice"" in winter seller hawks
In early morning people come out
Of the warm bed to buy the juice
Women are glad to get it
To make juicy, sweet cake
To pass wintry vague.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
© Muzahidul Reza │ 28 December, 2018",179,"""Date juice, palm juice"" in winter seller hawks In early morning people come out Of the warm bed to buy the juice Women are glad to get it To make juicy, sweet cake To pass wintry vague. About: Reza Syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. © Muzahidul Reza │ 28 December, 2018"
41,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseDesertDodgesPoembyMuzahidulReza,"Why does mirage glitters in the desert?
To shine? To enlighten? Neither ones,
But to dodge, to cheat and pretend
To have water for passers
Erring who go to drink
But, oh! Find nothing.
About:
Reza syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │15 May,2018",169,"Why does mirage glitters in the desert? To shine? To enlighten? Neither ones, But to dodge, to cheat and pretend To have water for passers Erring who go to drink But, oh! Find nothing. About: Reza syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │15 May,2018"
42,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseFlowerIsAGreatCreationPoembyMuzahidulReza,"First spread beauty and smell the flowers
Then come some bees, butterflies and birds
To see beauty, collect nectar,
They help cause pollinated
Then come out the fruits
As a complete food.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │11 February, 2018",174,"First spread beauty and smell the flowers Then come some bees, butterflies and birds To see beauty, collect nectar, They help cause pollinated Then come out the fruits As a complete food. About: Reza Syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │11 February, 2018"
43,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseThePassengersOfHelmlessModernFashionableBoatPoembyMuzahidulReza,"Floating and floating at last reached the port
Helmless modern fashionable boat,
Passengers are pleased for so funs
In revelry, joke programs;
They are too thoughtless as
Lower animals.
About:
Reza syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │8 April,2018",164,"Floating and floating at last reached the port Helmless modern fashionable boat, Passengers are pleased for so funs In revelry, joke programs; They are too thoughtless as Lower animals. About: Reza syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │8 April,2018"
44,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseForYouPoembyMuzahidulReza,"Outside at a stretch the air sings for You
Entering me checks if I sing so,
River murmuring sings for You
Passing hears if I sing so,
Surrounding sings, too
For You how I do?",35,"Outside at a stretch the air sings for You Entering me checks if I sing so, River murmuring sings for You Passing hears if I sing so, Surrounding sings, too For You how I do?"
45,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseForEmotionPoembyMuzahidulReza,"Emotionally goes life forever
That is in temporary world here,
What we demand, express and do
For it sometimes we fail to
Say what we mainly need
Even what we eat.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │ 13 February, 2018",174,"Emotionally goes life forever That is in temporary world here, What we demand, express and do For it sometimes we fail to Say what we mainly need Even what we eat. About: Reza Syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │ 13 February, 2018"
46,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseEarningAndUnderstandingKnowledgePoembyMuzahidulReza,"The age of science and technology
Is suitable for earning knowledge
If one tries can do easily
But catching on is the case;
Which is more important
Is to understand.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │28 May,2018",165,"The age of science and technology Is suitable for earning knowledge If one tries can do easily But catching on is the case; Which is more important Is to understand. About: Reza Syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │28 May,2018"
47,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseWorldsBabyPoembyMuzahidulReza,"After birth a baby is of the world
It neither can speak nor have culture,
May it be from any of parts,
May it have norm of father,
May it have regional
Some features as well.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │ 5 November, 2018",179,"After birth a baby is of the world It neither can speak nor have culture, May it be from any of parts, May it have norm of father, May it have regional Some features as well. About: Reza Syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │ 5 November, 2018"
48,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseHuntingBirdEaglePoembyMuzahidulReza,"With cruel nails, big wings mighty eagle
Is too ferocious a hunting bird
Hunts and hunts facing no trouble
Quick flying, catching expert,
Even hunting human
Has no confusion.
About:
Reza syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │13 May,2018",164,"With cruel nails, big wings mighty eagle Is too ferocious a hunting bird Hunts and hunts facing no trouble Quick flying, catching expert, Even hunting human Has no confusion. About: Reza syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: iambic; ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │13 May,2018"
49,syllabic-verse,SyllabicversePoemsRezaSyllabicVerseLoveForVillagePoembyMuzahidulReza,"I was born in a romantic village
Two sides are river surrounded,
So long and so wide the village
After my birth much I heard,
Then I began to love
And began to love.
About:
Reza Syllabic Verse (Edited, Revised And Additional Version) :
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
6 lines poem ─
Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th,
6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) ,
Syllables may be stressed or unstressed.
Rhyme scheme: ababcc; ababcd; abbacc; aabbcc
The aabbcc will be Heroic Reza syllabic Verse.
A simple refrain of 5th line may be as 6th line; if no refrain,
the 6th line will be an individual one.
Copyright © Muzahidul Reza │6 February, 2018",176,"I was born in a romantic village Two sides are river surrounded, So long and so wide the village After my birth much I heard, Then I began to love And began to love. About: Reza Syllabic Verse (Edited, Revised And Additional Version) : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 lines poem ─ Syllables meter: 10 in the 1st line,9 in the 2nd,8 in the 3rd,7 in the 4th, 6 in the 5th and 5 in the 6th line (10-9-8-7-6-5) , Syllables may be stressed or unstressed. Rhyme scheme: ababcc; ababcd; abbacc; aabbcc The aabbcc will be Heroic Reza syllabic Verse. A simple refrain of 5th line may be as 6th line; if no refrain, the 6th line will be an individual one. Copyright © Muzahidul Reza │6 February, 2018"
